,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,258
301,254
302,248
303,236
304,232
305,230
306,236
307,242
308,256
309,260
310,260
311,262
312,256
313,248
314,238
315,224
316,218
317,216
318,222
319,230
320,236
321,232
322,230
323,236
324,242
325,256
326,268
327,274
328,274
329,270
330,406
331,416
332,432
333,464
334,506
335,560
336,624
337,670
338,706
339,724
340,406
341,416
342,432
343,464
344,506
345,560
346,624
347,670
348,706
349,724
350,1392
351,1420
352,1426
353,1416
354,1164
355,950
356,858
357,792
358,760
359,750
360,1392
361,1420
362,1426
363,1416
364,1164
365,950
366,858
367,792
368,760
369,750
370,732
371,710
372,682
373,680
374,694
375,698
376,702
377,694
378,678
379,660
380,686
381,680
382,664
383,634
384,622
385,620
386,626
387,646
388,650
389,650
390,604
391,618
392,634
393,640
394,624
395,612
396,584
397,574
398,570
399,576
400,604
401,618
402,634
403,640
404,624
405,612
406,584
407,574
408,570
409,576
410,584
411,570
412,566
413,576
414,596
415,622
416,634
417,628
418,614
419,582
420,584
421,570
422,566
423,576
424,596
425,622
426,634
427,628
428,614
429,582
430,608
431,604
432,584
433,568
434,546
435,532
436,532
437,536
438,556
439,570
440,504
441,510
442,526
443,538
444,544
445,544
446,530
447,510
448,502
449,504
450,538
451,534
452,506
453,504
454,512
455,524
456,552
457,566
458,576
459,576
460,574
461,594
462,598
463,582
464,566
465,530
466,516
467,520
468,522
469,542
470,574
471,594
472,598
473,582
474,566
475,530
476,516
477,520
478,522
479,542
480,508
481,500
482,492
483,470
484,464
485,460
486,468
487,486
488,508
489,536
490,490
491,514
492,562
493,582
494,610
495,622
496,626
497,624
498,622
499,640
500,490
501,514
502,562
503,582
504,610
505,622
506,626
507,624
508,622
509,640
510,902
511,1012
512,1086
513,1312
514,1400
515,1406
516,1386
517,1414
518,1452
519,1422
520,902
521,1012
522,1086
523,1312
524,1400
525,1406
526,1386
